,,,,,,,,
,Assaults,,,,,,,
,,,,,,,,
,Clan,,,,,,,
,,,,,,,,
,Bane,Bane,Bane 2,Bane 3,Bane 4,,,
,Overview,http://cfw.sarna.net/wiki/images/0/0a/Kraken.jpg,,,,,,
,Type,Battlemech,Battlemech,Battlemech,Battlemech,,,
,Tonnage,100,100,100,100,,,
,Engine,300 XL,300 XL,300 XL,300 XL,,,
,Top Speed,48.6 kph,48.6 kph,48.6 kph,48.6 kph,,,
,Max. Engine,360,360,360,360,,,
,Armor,Standard,Standard,Standard,Standard,,,
,Internal Structure,Standard,Standard,Standard,Standard,,,
,Heat Sinks,10 Double,10 Double,19 Double,17 Double,,,
,Jump Jets,No,No,No,No,,,
,ECM Capable,No,No,No,No,,,
,MASC Capable,No,No,No,No,,,
,Weapons and Equipment,,,,,,,
,Head,,,Streak SRM-4 (Oneshot),,,,
,Left Arm,Ultra AC/2 x5,Ultra AC/10 x2,"LRM-15 x4, Double Heat Sink","Ultra AC/20, UAC Ammo x2",,,
,Left Torso,UAC Ammo x2,UAC Ammo x9,"LRM Ammo x8, Double Heat Sink","ATM-6, ATM Ammo, UAC Ammo x2, Double Heat Sink x2",,,
,Center Torso,Engine,Engine,"Engine, Double Heat Sink","Engine, Double Heat Sink",,,
,Right Torso,"Machine Gun x4, MG Ammo x0.5, UAC Ammo x2","Machine Gun x4, MG Ammo x0.5, UAC Ammo x5","LRM Ammo x8, Double Heat Sink","ER Large Laser, ATM-6 x2, ATM Ammo x3",,,
,Right Arm,Ultra AC/2 x5,Ultra AC/10 x2,"LRM-15 x4, Double Heat Sink","Ultra AC/20, UAC Ammo x2",,,
,Left Leg,,,Double Heat Sink,Double Heat Sink,,,
,Right Leg,,,Double Heat Sink,Double Heat Sink,,,
,Hardpoints,,,,,,,
,Head,,,1 Missile,,,,
,Left Arm,5 Ballistic (Available Actuators: Upper),2 Ballistic (Available Actuators: Upper),4 Missile (Available Actuators: Upper),2(1) Ballistic (Available Actuators: Upper),,,
,Left Torso,,,,1 Missile,,,
,Center Torso,,,,,,,
,Right Torso,4 Ballistic,4 Ballistic,,"2 Missile, 1 Energy",,,
,Right Arm,5 Ballistic (Available Actuators: Upper),2 Ballistic (Available Actuators: Upper),4 Missile (Available Actuators: Upper),2(1) Ballistic (Available Actuators: Upper),,,
,,,,,,,,
,,,,,,,,
,Stone Rhino,Stone Rhino,Stone Rhino 2,Stone Rhino 4,Stone Rhino 5,Stone Rhino 6,,
,Overview,http://cfw.sarna.net/wiki/images/4/45/StoneRhino.jpg,http://www.sarna.net/wiki/Stone_Rhino_(Behemoth),,,,,
,Type,Battlemech,Battlemech,Battlemech,Battlemech,Battlemech,,
,Tonnage,100,100,100,100,100,,
,Engine,300 Standard,300 XL,300 XL,400 XL,400 XL,,
,Top Speed,48.6 kph,48.6 kph,48.6 kph,64.8 kph,64.8 kph,,
,Max. Engine,360,360,360,400,360,,
,Armor,Standard,Standard,Standard,Standard,Ferro Fibrous,,
,Internal Structure,Standard,Standard,Standard,Standard,Standard,,
,Heat Sinks,10 Double,16 Double,17 Single,12 Double,18 Double,,
,Jump Jets,3,3,3,No,2,,
,ECM Capable,No,No,No,No,No,,
,MASC Capable,No,No,No,No,No,,
,Weapons and Equipment,,,,,,,
,Head,Small Pulse Laser,AMS,Single Heat Sink,,ER Small Laser,,
,Left Arm,Large Pulse Laser,"Heavy Large Laser, Heavy Medium Laser, Heavy Small Laser, Double Heat Sink x2","ER Medium Laser x2, Machine Gun x2, MG Ammo, Single Heat Sink",ER Medium Laser x3,,,
,Left Torso,"Gauss Rifle, Gauss Ammo x2","Gauss Rifle, Heavy Medium Laser, Gauss Ammo x2","Ultra AC/10, LRM-10 x2, LRM Ammo x2, UAC Ammo x2","LB 5-X AC x2, LBX Ammo x2",Medium Pulse Laser x7,,
,Center Torso,"Engine, Jump Jet","Engine, Jump Jet, AMS Ammo","Engine, Jump Jet","Engine, Jump Jet","Engine, Jump Jet x2",,
,Right Torso,"Gauss Rifle, Gauss Ammo x2","Gauss Rifle, Heavy Medium Laser, Gauss Ammo x2","Ultra AC/10, LRM-10 x2, LRM Ammo x2, UAC Ammo x2","LB 5-X AC x2, LBX Ammo x2",Medium Pulse Laser x7,,
,Right Arm,Large Pulse Laser,"Heavy Large Laser, Heavy Medium Laser, Heavy Small Laser, Double Heat Sink x2","ER Medium Laser x2, Machine Gun x2, MG Ammo, Single Heat Sink",ER Medium Laser x3,,,
,Left Leg,Jump Jet,Jump Jet,"Jump Jet, Single Heat Sink",Jump Jet,Double Heat Sink,,
,Right Leg,Jump Jet,Jump Jet,"Jump Jet, Single Heat Sink",Jump Jet,Double Heat Sink,,
,Hardpoints,,,,,,,
,Head,1 Energy,AMS,,,1 Energy,,
,Left Arm,"2(1) Energy (Available Actuators: Upper, Lower)",3 Energy (Available Actuators: Upper),"2 Ballistic, 2 Energy (Available Actuators: Upper, Lower)","3 Energy (Available Actuators: Upper, Lower)",(Available Actuators: Upper),,
,Left Torso,2(1) Ballistic,"1 Ballistic, 1 Energy","1 Ballistic, 2 Missile",2 Ballistic,7 Energy,,
,Center Torso,,,,,,,
,Right Torso,2(1) Ballistic,"1 Ballistic, 1 Energy","1 Ballistic, 2 Missile",2 Ballistic,7 Energy,,
,Right Arm,"2(1) Energy (Available Actuators: Upper, Lower)",3 Energy (Available Actuators: Upper),"2 Ballistic, 2 Energy (Available Actuators: Upper, Lower)","3 Energy (Available Actuators: Upper, Lower)",(Available Actuators: Upper),,
,,,,,,,,
,,,,,,,,
,Turkina,Turkina Prime,Turkina A,Turkina B,Turkina C,Turkina D,Turkina H,
,Overview,http://cfw.sarna.net/wiki/images/1/13/Turkina_3058U.png,,,,,,
,Type,Omnimech,Omnimech,Omnimech,Omnimech,Omnimech,Omnimech,
,Tonnage,95,95,95,95,95,95,
,Engine,285 XL,285 XL,285 XL,285 XL,285 XL,285 XL,
,Top Speed,48.6 kph,48.6 kph,48.6 kph,48.6 kph,48.6 kph,48.6 kph,
,Armor,Standard,Standard,Standard,Standard,Standard,Standard,
,Internal Structure,Standard,Standard,Standard,Standard,Standard,Standard,
,Heat Sinks,19 Double,15 Double,25 Double,17 Double,17 Double,20 Double,
,Jump Jets,3,3,3,3,3,3,
,ECM Capable,No,No,No,No,No,No,
,MASC Capable,No,No,No,No,No,No,
,Weapons and Equipment,,,,,,,
,Head,,,Medium Pulse Laser,BAP,ER Medium Laser,Medium Pulse Laser,
,Left Arm,"LB 5-X AC x2, LBX Ammo x2","Gauss Rifle, Gauss Ammo x2, LRM Ammo","Large Pulse Laser x2, Double Heat Sink x3","LB 20-X AC, LBX Ammo",ATM-12 x2,"Heavy Medium Laser x2, UAC Ammo x2, Double Heat Sink x2",
,Left Torso,"LRM-15, LRM Ammo x2, *Fixed Jump Jet, Fixed Double Heat Sink x2*","LRM-20, LRM Ammo, *Fixed Jump Jet, Fixed Double Heat Sink x2*","ER Medium Laser, Double Heat Sink x2, *Fixed Jump Jet, Fixed Double Heat Sink x2*","Flamer, Medium Pulse Laser x2, LBX Ammo x2, *Fixed Jump Jet, Fixed Double Heat Sink x2*","ATM Ammo x5, *Fixed Jump Jet, Fixed Double Heat Sink x2*","Ultra AC/10, UAC Ammo, *Fixed Jump Jet, Fixed Double Heat Sink x2*",
,Center Torso,"*Engine, Fixed Jump Jet*","*Engine, Fixed Jump Jet*","*Engine, Fixed Jump Jet*, Medium Pulse Laser","*Engine, Fixed Jump Jet*, Stream Ammo","*Engine, Fixed Jump Jet*, ER Medium Laser","*Engine, Fixed Jump Jet*, Medium Pulse Laser",
,Right Torso,"LRM-15, LRM Ammo, *Fixed Jump Jet, Fixed Double Heat Sink x2*","LRM-20, LRM Ammo, *Fixed Jump Jet, Fixed Double Heat Sink x2*","ER Medium Laser, Double Heat Sink x2, *Fixed Jump Jet, Fixed Double Heat Sink x2*","Streak SRM-6, Flamer, Machine Gun x2, *Fixed Jump Jet, Fixed Double Heat Sink x2*","ATM Ammo x5, *Fixed Jump Jet, Fixed Double Heat Sink x2*","Ultra AC/10, UAC Ammo, *Fixed Jump Jet, Fixed Double Heat Sink x2*",
,Right Arm,"ER PPC x2, Double Heat Sink x2","Gauss Rifle, Gauss Ammo x2, LRM Ammo","ER Large Laser x2, Double Heat Sink, Targeting Computer","Large Pulse Laser x2, Double Heat Sink x2",ATM-12 x2,"Heavy Medium Laser, Double Heat Sink, Targeting Computer",
,Left Leg,Double Heat Sink,,Double Heat Sink,LBX Ammo,Double Heat Sink,Double Heat Sink,
,Right Leg,Double Heat Sink,,Double Heat Sink,MG Ammo x0.5,Double Heat Sink,Double Heat Sink,
,Omnipods,,,,,,,
,Head,,,1 Energy,,1 Energy,1 Energy,
